Expert,Simple,cancer,source,page
Many anal cancers can be found early.  ,Many anal cancers can be found early.  ,Anal,ACS,Screening
Early anal cancers often have signs and symptoms that lead people to see a doctor.  ,Early anal cancers often have signs and symptoms that lead people to see a doctor.  ,Anal,ACS,Screening
"Unfortunately, some anal cancers may not cause symptoms until they reach an advanced stage.  ",But some anal cancers may not cause symptoms until they reach a late stage.  ,Anal,ACS,Screening
Other anal cancers can cause symptoms like those of diseases other than cancer.  ,Other anal cancers may also have symptoms of other conditions that are not cancer. This may delay their diagnosis.  ,Anal,ACS,Screening
Anal cancers develop in a part of the digestive tract that your doctor can easily see and get to.  ,Anal cancers start in a part of the GI tract that your doctor can easily see and get to.  ,Anal,ACS,Screening
A digital rectal exam (DRE) can find some cases of anal cancer early.  ,A digital rectal exam (DRE) by finger can find some cases of anal cancer early.  ,Anal,ACS,Screening
"In this exam, the doctor inserts a gloved, lubricated finger into the anus to feel for unusual lumps or growths.  ","In this exam, the doctor inserts a gloved, lubricated finger into the anus to feel for lumps or growths.  ",Anal,ACS,Screening
This test is sometimes used to look for prostate cancer in men (because the prostate gland can be felt through the rectum).  ,This test may also used to look for prostate cancer in men (because the prostate gland can be felt during this exam).  ,Anal,ACS,Screening
The rectal exam is also done routinely as part of a pelvic exam on women.  ,The rectal exam may also done as part of a pelvic exam on women.  ,Anal,ACS,Screening
The odds that anal cancer can be found early depend on the location and type of the cancer.  ,The chances of anal cancer being found early depends on the location and type of the cancer.  ,Anal,ACS,Screening
Cancers that begin higher up in the anal canal are less likely to cause symptoms and be found early.  ,Cancers that begin higher up in the anal canal may not cause symptoms and may not be found early by digital exam.  ,Anal,ACS,Screening
"Anal melanomas tend to spread earlier than other cancers, making them harder to diagnose them early.","Anal melanomas tend to spread earlier than other cancers, making them harder to diagnose them early.",Anal,ACS,Screening
Screening people at high risk ,Screening people at high risk ,Anal,ACS,Screening
Looking for a disease like cancer in someone with no symptoms is called screening .  ,Looking for a disease like cancer in someone with no symptoms is called screening .  ,Anal,ACS,Screening
"The goal of screening is to find cancer at an early stage, when treatment is likely to be most helpful.  ","The goal of screening is to find cancer at an early stage, when treatment is likely to be most helpful.  ",Anal,ACS,Screening
"Anal cancer is not common in the United States, so screening the general public for anal cancer is not widely recommended at this time.  ",Anal cancer is not common in the United States.  Screening the general public for anal cancer is not widely recommended at this time.  ,Anal,ACS,Screening
"Still, some people at increased risk for anal intraepithelial neoplasia (AIN, a potentially pre-cancerous condition) and anal cancer might benefit from screening.  ",Some people are at increased risk for anal cancer and might benefit from screening. ,Anal,ACS,Screening
"This includes men who have sex with men (regardless of HIV status), women who have had cervical cancer, vaginal cancer , or vulvar cancer , anyone who is HIV-positive, and anyone who is immunocompromised (such as people who have received an organ transplant or are on long-term steroids).  ","This includes >Known anal intraepithelial neoplasia (AIN, a potentially pre-cancerous condition). >men who have sex with men (regardless of HIV status). >women who have had cervical, vaginal or vulvar cancer. >anyone who is HIV-positive. >anyone who is immunocompromised (such as people who have received an organ transplant or are on long-term steroids).  ",Anal,ACS,Screening
Some experts also recommend screening for anyone with a history of anal warts and women older than 45 years old who are HPV 16 positive.  ,Additional screening recommendations: >anyone with a history of anal warts. >women older than 45 years old who are HPV positive.  ,Anal,ACS,Screening
